file,input_translation,node_expansions,horizon,solving_successfull,total_processing (time),total_real_world
GlätzerAkil\warehouse.lp,15625000,2,25,1,968750000,1001423700
GlätzerAkil\mini_maze.lp,31250000,3,25,1,1468750000,1481458900
