file,time,#nodes,pathlength,horizon,#moves,init_conflicts
benchmark_examples/size5x5/density20/ex1.lp,0.5264260490002926,9,3,3,12,4
benchmark_examples/size5x5/density20/ex10.lp,0.06913566299772356,2,0,5,17,0
benchmark_examples/size5x5/density20/ex2.lp,4.867123434996756,23,4,6,23,6
benchmark_examples/size5x5/density20/ex3.lp,1.3308164100017166,6,2,7,21,2
benchmark_examples/size5x5/density20/ex4.lp,1.2116757370022242,6,2,7,22,4
benchmark_examples/size5x5/density20/ex5.lp,0.36990795000019716,3,1,6,15,2
benchmark_examples/size5x5/density20/ex6.lp,2.7093011789984303,12,4,5,20,8
benchmark_examples/size5x5/density20/ex7.lp,2.7010591509970254,12,4,7,21,4
benchmark_examples/size5x5/density20/ex8.lp,0.08011994499975117,2,0,6,18,0
benchmark_examples/size5x5/density20/ex9.lp,0.08998213500308339,2,0,5,13,0
benchmark_examples/size5x5/density25/ex1.lp,0.37118606000149157,3,1,7,20,4
benchmark_examples/size5x5/density25/ex10.lp,2.197472227999242,13,5,6,25,8
benchmark_examples/size5x5/density25/ex2.lp,0.7824766589983483,5,2,4,19,4
benchmark_examples/size5x5/density25/ex3.lp,0.3395343239972135,3,1,4,15,2
benchmark_examples/size5x5/density25/ex4.lp,1.522091430000728,7,3,7,27,4
benchmark_examples/size5x5/density25/ex5.lp,0.3113224530025036,3,1,6,21,2
benchmark_examples/size5x5/density25/ex6.lp,0.30924988399783615,3,1,7,21,2
benchmark_examples/size5x5/density25/ex7.lp,1.231910558999516,8,6,5,17,10
benchmark_examples/size5x5/density25/ex8.lp,1.4329723849950824,9,4,6,18,4
benchmark_examples/size5x5/density25/ex9.lp,0.2585210079996614,3,1,4,16,4
benchmark_examples/size5x5/density30/ex1.lp,1.9196750989940483,10,5,7,25,10
benchmark_examples/size5x5/density30/ex10.lp,0.6389793980051763,5,1,5,23,2
benchmark_examples/size5x5/density30/ex2.lp,1.737629762996221,11,5,6,23,6
benchmark_examples/size5x5/density30/ex3.lp,2.4237341529951664,14,3,8,26,8
benchmark_examples/size5x5/density30/ex4.lp,0.6563393239994184,5,3,6,23,8
benchmark_examples/size5x5/density30/ex5.lp,1.0192217620060546,7,3,6,22,2
benchmark_examples/size5x5/density30/ex6.lp,0.2748075700001209,3,1,4,17,2
benchmark_examples/size5x5/density30/ex7.lp,2.409125578000385,17,7,5,22,6
benchmark_examples/size5x5/density30/ex8.lp,1.4950613680048264,10,5,5,16,10
benchmark_examples/size5x5/density30/ex9.lp,9.031902382004773,58,6,6,30,8
benchmark_examples/size5x5/density35/ex1.lp,180.87717015100498,1392,13,7,35,6
benchmark_examples/size5x5/density35/ex10.lp,2.1126102990019717,10,3,7,22,2
benchmark_examples/size5x5/density35/ex2.lp,29.618297823995817,155,5,8,39,6
benchmark_examples/size5x5/density35/ex3.lp,10.953899799002102,55,9,7,33,6
benchmark_examples/size5x5/density35/ex4.lp,3.9417651740004658,22,5,6,28,8
benchmark_examples/size5x5/density35/ex5.lp,19.39891396299936,96,17,7,29,6
benchmark_examples/size5x5/density35/ex6.lp,72.27646221699979,401,13,5,27,12
benchmark_examples/size5x5/density35/ex7.lp,111.04177005300153,601,11,9,26,12
benchmark_examples/size5x5/density35/ex8.lp,5.606577695994929,30,10,6,27,8
benchmark_examples/size5x5/density35/ex9.lp,14.108223144998192,65,11,7,36,18
benchmark_examples/size5x5/density40/ex1.lp
benchmark_examples/size5x5/density40/ex10.lp,18.888886237000406,90,12,6,40,12
benchmark_examples/size5x5/density40/ex2.lp,36.36729048300185,177,11,7,39,22
benchmark_examples/size5x5/density40/ex3.lp,191.0664532209994,982,26,7,36,20
benchmark_examples/size5x5/density40/ex4.lp,54.8402908470016,245,13,6,40,14
benchmark_examples/size5x5/density40/ex5.lp,142.67730487999506,751,17,7,37,26
benchmark_examples/size5x5/density40/ex6.lp,8.161154015004286,41,6,5,31,14
benchmark_examples/size5x5/density40/ex7.lp,9.619101047006552,52,9,6,33,10
benchmark_examples/size5x5/density40/ex8.lp,1.9158445780049078,11,4,5,36,14
benchmark_examples/size5x5/density40/ex9.lp,4.0035795440053334,20,5,7,40,14
benchmark_examples/size6x6/density20/ex1.lp,21.778046031002305,58,3,8,28,2
benchmark_examples/size6x6/density20/ex10.lp,13.404584399002488,34,9,9,39,8
benchmark_examples/size6x6/density20/ex2.lp,1.9278747470016242,9,3,6,24,2
benchmark_examples/size6x6/density20/ex3.lp,0.0959692440010258,2,0,3,13,0
benchmark_examples/size6x6/density20/ex4.lp,16.218795196997235,55,12,9,32,6
benchmark_examples/size6x6/density20/ex5.lp,4.422774093000044,13,5,7,38,6
benchmark_examples/size6x6/density20/ex6.lp,1.081065006001154,4,2,7,36,4
benchmark_examples/size6x6/density20/ex7.lp,7.556741619999229,26,7,8,32,6
benchmark_examples/size6x6/density20/ex8.lp,0.576587126000959,4,2,8,28,2
benchmark_examples/size6x6/density20/ex9.lp,0.5966479229973629,3,1,6,23,4
benchmark_examples/size6x6/density25/ex1.lp,8.743408166003064,29,7,7,38,14
benchmark_examples/size6x6/density25/ex10.lp,7.609889553001267,22,9,6,35,4
benchmark_examples/size6x6/density25/ex2.lp,15.716329260001658,48,10,8,47,16
benchmark_examples/size6x6/density25/ex3.lp,1.2958598199984408,5,3,8,30,4
benchmark_examples/size6x6/density25/ex4.lp,17.032879666003282,56,5,6,36,12
benchmark_examples/size6x6/density25/ex5.lp,1.1898425760009559,5,3,7,38,4
benchmark_examples/size6x6/density25/ex6.lp
benchmark_examples/size6x6/density25/ex7.lp,15.796097890000965,45,9,10,37,6
benchmark_examples/size6x6/density25/ex8.lp,4.837043710998842,15,6,7,38,8
benchmark_examples/size6x6/density25/ex9.lp,7.8932944659973145,24,10,9,38,12
benchmark_examples/size6x6/density30/ex1.lp,53.90248015799443,196,8,7,46,16
benchmark_examples/size6x6/density30/ex10.lp
benchmark_examples/size6x6/density30/ex2.lp,21.796347650000826,76,13,10,39,10
benchmark_examples/size6x6/density30/ex3.lp,124.82820202499715,489,17,10,37,12
benchmark_examples/size6x6/density30/ex4.lp,0.42129196600581054,10,4,7,33,6
