file,time,#nodes,pathlength,horizon,#moves,init_conflicts
benchmarkResults/ex/ex2/size6x6/density25/ex5.lp,1.1630533529969398,5,3,7,38,4
benchmarkResults/ex/ex2/size6x6/density25/ex6.lp,2.286225709001883,8,5,8,41,10
benchmarkResults/ex/ex2/size6x6/density25/ex7.lp,2.14904667600058,7,5,9,41,6
benchmarkResults/ex/ex2/size6x6/density25/ex8.lp,1.998311087008915,7,5,7,38,8
benchmarkResults/ex/ex2/size6x6/density25/ex9.lp,4.759169162003673,15,12,9,40,12
benchmarkResults/ex/ex2/size6x6/density30/ex1.lp,5.62029576599889,20,13,8,48,16
benchmarkResults/ex/ex2/size6x6/density30/ex10.lp,4.937203065012,17,13,7,49,14
benchmarkResults/ex/ex2/size6x6/density30/ex2.lp,2.6337317840079777,11,9,10,47,10
benchmarkResults/ex/ex2/size6x6/density30/ex3.lp,6.303901220991975,22,16,10,45,12
benchmarkResults/ex/ex2/size6x6/density30/ex4.lp,1.7314442140050232,6,4,7,33,6
benchmarkResults/ex/ex2/size6x6/density30/ex5.lp,3.0237018629995873,12,10,6,41,12
benchmarkResults/ex/ex2/size6x6/density30/ex6.lp,5.2395093430095585,15,11,8,53,12
benchmarkResults/ex/ex2/size6x6/density30/ex7.lp,2.0135737290111138,6,4,7,48,8
benchmarkResults/ex/ex2/size6x6/density30/ex8.lp,3.003029144994798,10,8,9,57,10
benchmarkResults/ex/ex2/size6x6/density30/ex9.lp,1.751861052995082,7,4,7,45,6
benchmarkResults/ex/ex2/size6x6/density35/ex1.lp,2.4023890200041933,9,7,8,47,14
benchmarkResults/ex/ex2/size6x6/density35/ex10.lp,13.797730354999658,38,22,8,67,20
benchmarkResults/ex/ex2/size6x6/density35/ex2.lp,8.16211847399245,21,19,9,70,22
benchmarkResults/ex/ex2/size6x6/density35/ex3.lp,30.177795903990045,64,39,12,89,22
benchmarkResults/ex/ex2/size6x6/density35/ex4.lp,27.144034757002373,59,28,10,73,22
benchmarkResults/ex/ex2/size6x6/density35/ex5.lp,3.945584023997071,14,11,7,54,14
benchmarkResults/ex/ex2/size6x6/density35/ex6.lp,9.347946549998596,22,18,9,60,20
benchmarkResults/ex/ex2/size6x6/density35/ex7.lp,9.301236159997643,25,17,9,63,20
benchmarkResults/ex/ex2/size6x6/density35/ex8.lp,4.346919976989739,15,12,8,56,16
benchmarkResults/ex/ex2/size6x6/density35/ex9.lp,10.345971019007266,29,25,10,62,18
benchmarkResults/ex/ex2/size6x6/density40/ex1.lp,17.25057583700982,44,34,9,84,24
benchmarkResults/ex/ex2/size6x6/density40/ex10.lp,7.71402516499802,24,18,7,60,20
benchmarkResults/ex/ex2/size6x6/density40/ex2.lp,3.9862450969958445,14,11,7,64,16
benchmarkResults/ex/ex2/size6x6/density40/ex3.lp,12.061890039010905,42,24,9,61,32
benchmarkResults/ex/ex2/size6x6/density40/ex4.lp,8.95370401100081,25,19,9,71,22
benchmarkResults/ex/ex2/size6x6/density40/ex5.lp,26.680583552995813,70,46,10,87,24
benchmarkResults/ex/ex2/size6x6/density40/ex6.lp,11.252691617992241,36,26,9,67,26
benchmarkResults/ex/ex2/size6x6/density40/ex7.lp,8.081449297998915,21,16,9,73,22
benchmarkResults/ex/ex2/size6x6/density40/ex8.lp,15.795698789006565,38,29,8,79,34
benchmarkResults/ex/ex2/size6x6/density40/ex9.lp,1.6970533810090274,8,6,6,39,14
benchmarkResults/ex/ex2/size7x7/density20/ex1.lp,6.0380363349977415,9,6,8,50,10
benchmarkResults/ex/ex2/size7x7/density20/ex10.lp,3.9655383659992367,7,5,8,44,10
benchmarkResults/ex/ex2/size7x7/density20/ex2.lp,1.6254528470017249,6,4,9,46,10
benchmarkResults/ex/ex2/size7x7/density20/ex3.lp,13.437322426994797,19,14,9,64,10
benchmarkResults/ex/ex2/size7x7/density20/ex4.lp,4.193905384003301,7,5,8,52,12
benchmarkResults/ex/ex2/size7x7/density20/ex5.lp,0.7744007220026106,3,1,7,40,2
benchmarkResults/ex/ex2/size7x7/density20/ex6.lp,0.40301439599716105,3,1,7,39,4
benchmarkResults/ex/ex2/size7x7/density20/ex7.lp,4.2633537229994545,9,7,7,41,6
benchmarkResults/ex/ex2/size7x7/density20/ex8.lp,5.796859711990692,9,7,9,56,20
benchmarkResults/ex/ex2/size7x7/density20/ex9.lp,1.6890056959964568,6,4,6,34,10
benchmarkResults/ex/ex2/size7x7/density25/ex1.lp,15.490434627005015,26,19,9,67,18
benchmarkResults/ex/ex2/size7x7/density25/ex10.lp,1.6452345639991108,7,4,9,46,8
benchmarkResults/ex/ex2/size7x7/density25/ex2.lp,5.818901744001778,9,7,9,62,12
benchmarkResults/ex/ex2/size7x7/density25/ex3.lp,15.303227614000207,21,13,9,71,20
benchmarkResults/ex/ex2/size7x7/density25/ex4.lp,4.6300736510020215,10,8,9,63,12
benchmarkResults/ex/ex2/size7x7/density25/ex5.lp,2.672736534004798,8,6,7,43,10
benchmarkResults/ex/ex2/size7x7/density25/ex6.lp,36.058646756006056,41,23,11,85,22
benchmarkResults/ex/ex2/size7x7/density25/ex7.lp,4.285362651004107,10,8,10,62,12
benchmarkResults/ex/ex2/size7x7/density25/ex8.lp,8.83846928999992,14,9,9,56,14
benchmarkResults/ex/ex2/size7x7/density25/ex9.lp,1.77304133400321,6,4,7,47,14
benchmarkResults/ex/ex2/size7x7/density30/ex1.lp,11.481127869992633,20,17,11,79,18
benchmarkResults/ex/ex2/size7x7/density30/ex10.lp,26.212502618989674,42,31,11,70,28
benchmarkResults/ex/ex2/size7x7/density30/ex2.lp,9.415700950004975,15,11,8,64,14
benchmarkResults/ex/ex2/size7x7/density30/ex3.lp,13.781796338997083,20,14,8,82,14
benchmarkResults/ex/ex2/size7x7/density30/ex4.lp,25.067382508990704,29,18,10,79,22
benchmarkResults/ex/ex2/size7x7/density30/ex5.lp,20.070609101996524,32,21,9,95,16
benchmarkResults/ex/ex2/size7x7/density30/ex6.lp,11.286313005999546,26,15,7,59,18
benchmarkResults/ex/ex2/size7x7/density30/ex7.lp,23.76714218199777,34,26,9,82,44
benchmarkResults/ex/ex2/size7x7/density30/ex8.lp,7.241523652992328,16,11,7,69,16
benchmarkResults/ex/ex2/size7x7/density30/ex9.lp,17.059763172001112,27,24,10,78,34
benchmarkResults/ex/ex2/size7x7/density35/ex1.lp,28.432813259001705,34,28,12,107,32
benchmarkResults/ex/ex2/size7x7/density35/ex10.lp,36.61888434100547,49,34,11,111,50
benchmarkResults/ex/ex2/size7x7/density35/ex2.lp,23.414334968008916,39,28,10,93,26
benchmarkResults/ex/ex2/size7x7/density35/ex3.lp,45.92286655699718,73,39,9,93,26
benchmarkResults/ex/ex2/size7x7/density35/ex4.lp,54.14159228198696,87,60,9,110,38
benchmarkResults/ex/ex2/size7x7/density35/ex5.lp,21.928375985997263,37,29,9,93,30
benchmarkResults/ex/ex2/size7x7/density35/ex6.lp,79.91523236400099,119,57,11,108,28
benchmarkResults/ex/ex2/size7x7/density35/ex7.lp,24.462791290992755,35,29,13,105,40
benchmarkResults/ex/ex2/size7x7/density35/ex8.lp,17.222300068999175,31,25,7,84,40
benchmarkResults/ex/ex2/size7x7/density35/ex9.lp,69.43875643401407,81,51,11,125,36
benchmarkResults/ex/ex2/size7x7/density40/ex1.lp,240.25673537400144,215,121,14,150,60
benchmarkResults/ex/ex2/size7x7/density40/ex10.lp,51.01726167599554,69,42,9,129,36
