name,time,#nodes,pathlength,horizon,#moves
benchmarkResults/ex/ex1/size6x6/density30/ex6.lp,0.9100264119915664,24,5,7,34
benchmarkResults/ex/ex1/size6x6/density30/ex7.lp,2.9833571190101793,74,9,6,41
benchmarkResults/ex/ex1/size6x6/density30/ex8.lp,0.6917473270004848,15,4,7,29
benchmarkResults/ex/ex1/size6x6/density30/ex9.lp,0.45282409198989626,10,5,7,32
benchmarkResults/ex/ex1/size6x6/density35/ex1.lp,1.2720822900009807,29,10,9,34
benchmarkResults/ex/ex1/size6x6/density35/ex2.lp,276.18797116600035,4946,14,8,62
benchmarkResults/ex/ex1/size6x6/density35/ex3.lp
benchmarkResults/ex/ex1/size6x6/density35/ex4.lp,119.54004988299857,1949,28,9,68
benchmarkResults/ex/ex1/size6x6/density35/ex5.lp,10.80282172698935,239,16,7,49
benchmarkResults/ex/ex1/size6x6/density35/ex6.lp,2.3249783600040246,44,10,8,43
benchmarkResults/ex/ex1/size6x6/density35/ex7.lp
benchmarkResults/ex/ex1/size6x6/density35/ex8.lp
benchmarkResults/ex/ex1/size6x6/density35/ex9.lp,6.3340097360051,118,13,7,54
benchmarkResults/ex/ex1/size6x6/density40/ex1.lp
benchmarkResults/ex/ex1/size6x6/density40/ex2.lp
benchmarkResults/ex/ex1/size6x6/density40/ex3.lp
benchmarkResults/ex/ex1/size6x6/density40/ex4.lp
benchmarkResults/ex/ex1/size6x6/density40/ex5.lp
benchmarkResults/ex/ex1/size6x6/density40/ex6.lp
benchmarkResults/ex/ex1/size6x6/density40/ex7.lp
benchmarkResults/ex/ex1/size6x6/density40/ex8.lp,54.667591422010446,1117,26,7,50
benchmarkResults/ex/ex1/size6x6/density40/ex9.lp
benchmarkResults/ex/ex1/size7x7/density20/ex1.lp,0.2398788870050339,4,2,8,48
benchmarkResults/ex/ex1/size7x7/density20/ex2.lp,1.5284467580058845,20,5,7,42
benchmarkResults/ex/ex1/size7x7/density20/ex3.lp,4.473170269993716,67,12,9,35
benchmarkResults/ex/ex1/size7x7/density20/ex4.lp,3.7891317879984854,35,8,9,50
benchmarkResults/ex/ex1/size7x7/density20/ex5.lp,1.4659699619951425,18,8,10,46
benchmarkResults/ex/ex1/size7x7/density20/ex6.lp,1.5421156939992215,18,6,9,51
benchmarkResults/ex/ex1/size7x7/density20/ex7.lp,0.6564411950093927,9,4,8,51
benchmarkResults/ex/ex1/size7x7/density20/ex8.lp,0.6193854329903843,9,3,8,39
benchmarkResults/ex/ex1/size7x7/density20/ex9.lp,2.2140967800078215,27,7,10,52
benchmarkResults/ex/ex1/size7x7/density25/ex1.lp,0.7681548949913122,11,5,11,45
benchmarkResults/ex/ex1/size7x7/density25/ex2.lp,15.55894922898733,150,14,9,61
benchmarkResults/ex/ex1/size7x7/density25/ex3.lp,2.5266108969954075,47,9,7,46
benchmarkResults/ex/ex1/size7x7/density25/ex4.lp,1.958958322997205,21,6,8,49
benchmarkResults/ex/ex1/size7x7/density25/ex5.lp
benchmarkResults/ex/ex1/size7x7/density25/ex6.lp,9.50327986200864,109,12,9,56
benchmarkResults/ex/ex1/size7x7/density25/ex7.lp,13.05379560799338,160,13,8,53
benchmarkResults/ex/ex1/size7x7/density25/ex8.lp,7.431625459008501,82,8,12,62
benchmarkResults/ex/ex1/size7x7/density25/ex9.lp,2.1699391409929376,24,9,8,61
benchmarkResults/ex/ex1/size7x7/density30/ex1.lp,8.935628210005234,86,17,8,80
benchmarkResults/ex/ex1/size7x7/density30/ex2.lp,132.88110095600132,1409,22,9,64
benchmarkResults/ex/ex1/size7x7/density30/ex3.lp
benchmarkResults/ex/ex1/size7x7/density30/ex4.lp,32.87262672500219,350,20,9,63
benchmarkResults/ex/ex1/size7x7/density30/ex5.lp
benchmarkResults/ex/ex1/size7x7/density30/ex6.lp,6.159380551005597,79,10,8,58
benchmarkResults/ex/ex1/size7x7/density30/ex7.lp,102.56453653000062,1245,13,10,61
benchmarkResults/ex/ex1/size7x7/density30/ex8.lp
