file,time,#nodes,pathlength,horizon,#moves,init_conflicts
inc_benchmarkResults/ex/ex2/10robs.lp,0.4236747909890255,8,6,8,45,10
inc_benchmarkResults/ex/ex2/11robs.lp,0.798120685009053,11,7,11,56,20
inc_benchmarkResults/ex/ex2/12robs.lp,1.4774546469998313,20,8,11,61,22
inc_benchmarkResults/ex/ex2/13robs.lp,4.7363408009987324,61,16,11,67,28
inc_benchmarkResults/ex/ex2/14robs.lp,4.867026114006876,61,18,11,72,30
inc_benchmarkResults/ex/ex2/15robs.lp,13.269280645006802,162,21,11,71,30
inc_benchmarkResults/ex/ex2/16robs.lp,43.602381887001684,521,34,13,77,30
inc_benchmarkResults/ex/ex2/17robs.lp,165.30740046000574,1986,32,11,83,38
inc_benchmarkResults/ex/ex2/18robs.lp
inc_benchmarkResults/ex/ex2/19robs.lp
inc_benchmarkResults/ex/ex2/2robs.lp,0.012631603996851481,2,0,3,5,0
inc_benchmarkResults/ex/ex2/3robs.lp,0.08549247699556872,3,1,8,13,2
inc_benchmarkResults/ex/ex2/4robs.lp,0.14205676899291575,3,1,8,19,2
inc_benchmarkResults/ex/ex2/5robs.lp,0.10558250000758562,3,1,8,22,2
inc_benchmarkResults/ex/ex2/6robs.lp,0.20217288700223435,4,2,8,26,2
inc_benchmarkResults/ex/ex2/7robs.lp,0.2665219679911388,5,3,8,34,4
inc_benchmarkResults/ex/ex2/8robs.lp,0.7638683599943761,11,4,8,37,6
inc_benchmarkResults/ex/ex2/9robs.lp,0.2792972060124157,5,3,8,40,6
