file,time,#nodes,pathlength,horizon,#moves
incremental_rob_num/ex/ex4/10robs.lp,0.9143776080018142,12,10,8,53
incremental_rob_num/ex/ex4/11robs.lp,2.1438866989919916,25,20,10,72
incremental_rob_num/ex/ex4/12robs.lp,1.8847243579948554,24,19,9,63
incremental_rob_num/ex/ex4/13robs.lp,1.287343140997109,18,13,8,63
incremental_rob_num/ex/ex4/14robs.lp,2.179987093011732,27,23,8,79
incremental_rob_num/ex/ex4/15robs.lp,1.4827665649936534,23,19,8,82
incremental_rob_num/ex/ex4/16robs.lp,3.1448165369947674,31,22,8,89
incremental_rob_num/ex/ex4/17robs.lp,1.4699840550019871,21,19,8,87
incremental_rob_num/ex/ex4/18robs.lp,6.324149339998257,70,49,10,107
incremental_rob_num/ex/ex4/19robs.lp,7.633598913002061,88,60,10,122
incremental_rob_num/ex/ex4/2robs.lp,0.008820551011012867,2,0,6,7
incremental_rob_num/ex/ex4/3robs.lp,0.051076126997941174,3,1,6,12
incremental_rob_num/ex/ex4/4robs.lp,0.06430502199509647,3,1,8,20
incremental_rob_num/ex/ex4/5robs.lp,0.15320586699817795,4,2,8,25
incremental_rob_num/ex/ex4/6robs.lp,0.13655603901133873,4,2,8,29
incremental_rob_num/ex/ex4/7robs.lp,0.3723786440095864,6,4,8,39
incremental_rob_num/ex/ex4/8robs.lp,0.512941854991368,8,6,8,44
incremental_rob_num/ex/ex4/9robs.lp,0.4494042879960034,8,5,8,45
