file,time,#nodes,pathlength,horizon,#moves,init_conflicts
inc_benchmarkResults/ex/ex3/10robs.lp,8.436924549998366,123,13,9,43,14
inc_benchmarkResults/ex/ex3/11robs.lp,2.9364924609981244,48,8,9,49,18
inc_benchmarkResults/ex/ex3/12robs.lp,78.31826000499132,1048,17,9,52,18
inc_benchmarkResults/ex/ex3/13robs.lp,163.4421149510017,2199,24,9,55,20
inc_benchmarkResults/ex/ex3/14robs.lp,237.75893403199734,3219,17,9,60,22
inc_benchmarkResults/ex/ex3/15robs.lp
inc_benchmarkResults/ex/ex3/16robs.lp
inc_benchmarkResults/ex/ex3/17robs.lp
inc_benchmarkResults/ex/ex3/18robs.lp
inc_benchmarkResults/ex/ex3/19robs.lp
inc_benchmarkResults/ex/ex3/2robs.lp,0.01399225799832493,2,0,5,6,0
inc_benchmarkResults/ex/ex3/3robs.lp,0.01570941400132142,2,0,5,8,0
inc_benchmarkResults/ex/ex3/4robs.lp,0.29582143398874905,6,3,7,15,2
inc_benchmarkResults/ex/ex3/5robs.lp,0.1848957439942751,5,2,7,18,2
inc_benchmarkResults/ex/ex3/6robs.lp,0.1950500090024434,5,2,7,22,2
inc_benchmarkResults/ex/ex3/7robs.lp,0.777432841990958,15,5,7,26,4
inc_benchmarkResults/ex/ex3/8robs.lp,0.8624373630009359,18,6,7,28,4
inc_benchmarkResults/ex/ex3/9robs.lp,0.709937887993874,13,6,7,34,6
