file,time,#nodes,pathlength,horizon,#moves
incremental_rob_num/ex/ex5/10robs.lp,0.44524319098854903,10,8,7,46
incremental_rob_num/ex/ex5/11robs.lp,0.7604443529999116,14,11,7,50
incremental_rob_num/ex/ex5/12robs.lp,1.1488807809946593,16,11,7,53
incremental_rob_num/ex/ex5/13robs.lp,1.154409302995191,19,15,7,63
incremental_rob_num/ex/ex5/14robs.lp,3.276398425005027,45,24,8,75
incremental_rob_num/ex/ex5/15robs.lp,0.7262759520090185,11,9,7,71
incremental_rob_num/ex/ex5/16robs.lp,4.420055333990604,50,38,10,90
incremental_rob_num/ex/ex5/17robs.lp,0.9486375379929086,13,11,7,78
incremental_rob_num/ex/ex5/18robs.lp,1.736912744003348,17,15,9,83
incremental_rob_num/ex/ex5/19robs.lp,1.7361999650020152,24,17,7,86
incremental_rob_num/ex/ex5/2robs.lp,0.009035080001922324,2,0,7,11
incremental_rob_num/ex/ex5/3robs.lp,0.12744214800477494,4,2,7,18
incremental_rob_num/ex/ex5/4robs.lp,0.13794828199024778,4,2,7,25
incremental_rob_num/ex/ex5/5robs.lp,0.22962041600840166,5,3,7,25
incremental_rob_num/ex/ex5/6robs.lp,0.24449253600323573,6,4,7,28
incremental_rob_num/ex/ex5/7robs.lp,0.3111888169951271,8,6,7,32
incremental_rob_num/ex/ex5/8robs.lp,0.4014719359984156,7,5,7,37
incremental_rob_num/ex/ex5/9robs.lp,0.5449575570091838,11,8,7,44
